역이름,lon,lat
내방역,126.993598,37.487707
이수역,126.981876,37.486491
남성역,126.970673,37.484876
숭실대입구역,126.953504,37.496374
상도역,126.947753,37.503072
장승배기역,126.939191,37.504905
신대방삼거리역,126.928189,37.499717
보라매역,126.920282,37.499929
신풍역,126.908969,37.50013
남구로역,126.887272,37.486087
가산디지털단지역,126.8825735,37.48089
철산역,126.8719535,37.4793462
광명사거리역,126.8546747,37.4793066
천왕역,126.838681,37.486686
온수역,126.8236345,37.4921505
까치울역,126.8113591,37.5062327
부천종합운동장역,126.797498,37.505452
춘의역,126.787095,37.503722
신중동역,126.775977,37.503064
부천시청역,126.763618,37.504681
상동역,126.753163,37.505814
삼산체육관역,126.742024,37.506483
굴포천역,126.725813,37.508231
부평구청역,126.72091,37.508073
암사역,127.1304539,37.558248
강동구청역,127.120535,37.53051
몽촌토성역,127.11274,37.517641
석촌역,127.1070689,37.5057138
송파역,127.112201,37.499739
문정역,127.1238462,37.4851331
장지역,127.126274,37.477699
복정역,127.126685,37.470375
산성역,127.15011,37.45663
남한산성입구역,127.159837,37.451548
단대오거리역,127.156709,37.44505
신흥역,127.147509,37.440956
수진역,127.1409692,37.4376051
모란역,127.129064,37.432124
신내역,127.1032127,37.6126681
하남풍산역,127.20388,37.552059
미사역,127.192932,37.563118
강일역,127.17571,37.557471
하남검단산역,127.2231,37.539827
하남시청역,127.2062976,37.5419669
남위례역,127.139064,37.462856
