iter	RMSE
244	6.697386873
245	6.695128678
246	6.694779198
247	6.684555863
248	6.672631603
249	6.669728629
250	6.656189686
251	6.652040849
252	6.645095545
253	6.635844724
254	6.634390575
255	6.622682634
256	6.617723445
257	6.610849107
258	6.604764315
259	6.599303109
260	6.592208143
261	6.580350623
262	6.577544557
263	6.568346148
264	6.561667282
265	6.559367527
266	6.554744501
267	6.551655233
268	6.543415165
269	6.538459988
270	6.534975465
271	6.525122863
272	6.518188327
273	6.511414387
274	6.510725897
275	6.508514509
276	6.49901392
277	6.491107474
278	6.482829467
279	6.475402509
280	6.468164148
281	6.460775402
282	6.450800387
283	6.450453974
284	6.442332793
285	6.442012318
286	6.43930237
287	6.435832599
288	6.427179816
289	6.418921303
290	6.41388271
291	6.408468352
292	6.400119324
293	6.395646528
294	6.387609114
295	6.380815613
296	6.377261319
297	6.377003934
298	6.367141574
299	6.361734803
300	6.357219392
301	6.351568566
302	6.344979926
303	6.341609916
304	6.335787002
305	6.328386408
306	6.325849311
307	6.319300466
308	6.312627406
309	6.308073699
310	6.30199326
311	6.29288952
312	6.286834928
313	6.278249113
314	6.276259142
315	6.269231801
316	6.267158146
317	6.260835872
318	6.253738122
319	6.246051226
320	6.242870969
321	6.232360516
322	6.228073557
323	6.220897369
324	6.217556186
325	6.215306679
326	6.206897635
327	6.205403616
328	6.198682013
329	6.194880525
330	6.187676907
331	6.182990716
332	6.178196774
333	6.171776086
334	6.161515051
335	6.153454012
336	6.152545064
337	6.147115664
338	6.141234759
339	6.134387152
340	6.129006567
341	6.126697298
342	6.123988115
343	6.114748853
344	6.109010709
345	6.10223103
346	6.098738921
347	6.092925539
348	6.087721375
349	6.081488811
350	6.076597076
351	6.076208821
352	6.066157734
353	6.064155215
354	6.058329043
355	6.055712407
356	6.053117863
357	6.048507655
358	6.042368508
359	6.03534782
360	6.023139103
361	6.016355924
362	6.010094168
363	6.008250148
364	5.996929978
365	5.991294367
366	5.991058298
367	5.98702504
368	5.985186111
369	5.984918358
370	5.98201742
371	5.980177553
372	5.974894102
373	5.971207588
374	5.964767242
375	5.953811623
376	5.946365139
377	5.943096211
378	5.938408452
379	5.931219586
380	5.924382725
381	5.918786649
382	5.918385162
383	5.913378881
384	5.913099681
385	5.901562443
386	5.89762384
387	5.897138943
388	5.895650312
389	5.887194945
390	5.88690763
391	5.881773536
392	5.881517577
393	5.876330956
394	5.876079483
395	5.874344543
396	5.867934032
397	5.867767636
398	5.864240789
399	5.860261233
400	5.855390465
401	5.855085061
402	5.852462927
403	5.852268273
404	5.849603875
405	5.842881742
406	5.838481238
407	5.834951226
408	5.827033403
409	5.824551376
410	5.813084189
411	5.809688369
412	5.80941409
413	5.803351569
414	5.796337659
415	5.794078861
416	5.791261698
417	5.785799177
418	5.778583142
419	5.773527725
420	5.763809163
421	5.759313569
422	5.752672903
423	5.744604631
424	5.735833331
425	5.734105948
426	5.730440676
427	5.730012165
428	5.725653631
429	5.723237732
430	5.714197144
431	5.706339837
432	5.700159366
433	5.690342274
434	5.684885205
435	5.683666959
436	5.681699938
437	5.67712317
438	5.672291222
439	5.663907223
440	5.663699954
441	5.661546427
442	5.657977388
443	5.653550247
444	5.647928102
445	5.645085371
446	5.638327305
447	5.634602152
448	5.63175607
449	5.62079175
450	5.614520776
451	5.610560501
452	5.60720113
453	5.606960149
454	5.604585307
455	5.604142085
456	5.597151865
457	5.593154675
458	5.582963446
459	5.575000292
460	5.573401636
461	5.563435595
462	5.556412115
463	5.556237507
464	5.55133053
465	5.544310835
466	5.543219474
467	5.540512971
468	5.530345538
469	5.530148822
470	5.52508983
471	5.522372303
472	5.518505025
473	5.510889529
474	5.506524148
475	5.50283683
476	5.499191122
477	5.490074224
478	5.483469583
479	5.476292548
480	5.471502375
481	5.468213099
482	5.463680621
483	5.462228472
484	5.459621654
485	5.458714088
486	5.453056182
487	5.44726756
488	5.440441968
489	5.437276013
490	5.429302183
491	5.42494045
492	5.420867326
493	5.415523491
494	5.412102951
495	5.404575604
496	5.399062855
497	5.394262203
498	5.388092537
499	5.380415663
